2021-08-20 20:40:50.097 [main] INFO  ir.sharif.aminra.Main - server program started
2021-08-20 20:40:52.946 [main] INFO  ir.sharif.aminra.database.Connector - connected to database
2021-08-20 20:41:07.223 [Thread-1] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:41:07.349 [Thread-1] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=4, firstname=, lastname=, username=vote_bot, bio=, birthDate=null, email=vote@bot.com, phoneNumber=, password=vote_bot, publicData=true, isActive=true, lastSeen=2021-08-20T20:41:07.221943, lastSeenType=Everyone, followings=[], followers=[], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[])
2021-08-20 20:41:07.651 [Thread-1] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:41:07.653 [Thread-1] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:41:07.661 [Thread-1] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=4, firstname=, lastname=, username=vote_bot, bio=, birthDate=null, email=vote@bot.com, phoneNumber=, password=vote_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[])
2021-08-20 20:41:07.829 [Thread-1] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:41:07.832 [Thread-1] INFO  ir.sharif.aminra.controller.SocketManager - new bot added
2021-08-20 20:41:38.366 [Thread-1] INFO  ir.sharif.aminra.controller.SocketManager - new bot added
2021-08-20 20:42:19.833 [Thread-1] INFO  ir.sharif.aminra.controller.SocketManager - bots removed
2021-08-20 20:42:19.885 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.897 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=1, chatName=saved messages, messages=[3, 9, 11, 19, 20], users=[1], isGroup=false)
2021-08-20 20:42:19.898 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.898 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.898 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=3, chatName=a, messages=[], users=[], isGroup=true)
2021-08-20 20:42:19.899 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.900 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.900 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=4, chatName=b, messages=[], users=[], isGroup=true)
2021-08-20 20:42:19.901 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.902 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.903 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=5, chatName=c, messages=[2], users=[], isGroup=true)
2021-08-20 20:42:19.904 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.905 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.905 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=6, chatName=salam, messages=[2], users=[], isGroup=true)
2021-08-20 20:42:19.906 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.906 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.907 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=7, chatName=saved messages, messages=[], users=[2], isGroup=false)
2021-08-20 20:42:19.907 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.911 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.911 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=8, chatName=me and bot, messages=[69, 70, 71, 72, 75, 77], users=[], isGroup=true)
2021-08-20 20:42:19.912 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.924 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.924 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=9, chatName=guys, messages=[81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 96, 97, 99, 100, 102, 103, 104, 105, 107, 108, 110, 111, 112, 114], users=[], isGroup=true)
2021-08-20 20:42:19.925 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.931 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
